Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Perry Kemp,GNB,WR,29,16,16,0,0,0,0,0,1,-1,-1.00,0,44,527,11.98,2,2,,2,,,63,106.6,110.6,84.6,,64,
Steve Smith,RAI,FB,26,16,15,0,0,0,0,0,81,327,4.04,2,4,30,7.50,3,3,,5,,,63,66.7,71.2,64.7,,54,
Anthony Thompson,PHO,RB,23,13,3,0,0,0,0,0,106,390,3.68,4,2,11,5.50,0,1,,4,,,63,65.1,68.6,64.1,,53,
Mike Young,DEN,WR,28,16,1,0,0,0,0,0,0,0,,0,28,385,13.75,4,0,,4,,,63,90.5,93.5,76.5,,65,
Jeff Hostetler,NYG,QB,29,16,2,47,87,614,3,1,39,190,4.87,2,0,0,,0,4,,2,,,62,61.6,70.6,62.6,,32,
Warren Williams,PIT,RB,25,14,4,0,0,0,0,0,68,389,5.72,3,5,42,8.40,1,5,,4,,,62,67.1,72.6,64.6,,55,
Marc Wilson,NWE,QB,33,16,6,139,265,1625,6,11,5,7,1.40,0,0,0,,0,6,,0,,,62,61.7,78.7,72.7,,31,
Shawn Collins,ATL,WR,23,16,6,0,0,0,0,0,0,0,,0,34,503,14.79,2,1,,2,,,61,95.3,98.8,78.3,,66,
Cris Carter,MIN,WR,25,16,5,0,0,0,0,0,2,6,3.00,0,27,413,15.30,3,0,,3,,,60,86.9,89.9,73.4,,67,
Mark Clayton,MIA,WR,29,10,10,0,0,0,0,0,0,0,,0,32,406,12.69,3,1,,3,,,58,89.6,93.1,73.6,,68,
Rick Fenney,MIN,FB,26,12,5,0,0,0,0,0,87,376,4.32,2,17,112,6.59,0,3,,2,,,58,74.8,82.3,66.3,,56,
Pete Holohan,RAM,TE,31,16,8,0,0,0,0,0,0,0,,0,49,475,9.69,2,2,,2,,,58,106.5,110.5,82.0,,12,
Mel Bratton,DEN,RB,25,16,3,0,0,0,0,0,27,82,3.04,3,29,276,9.52,1,3,,4,,,57,85.8,90.3,71.3,,57,
Ethan Horton,RAI,TE,28,16,14,0,0,0,0,0,0,0,,0,33,404,12.24,3,1,,3,,,57,90.4,93.9,73.9,,13,
Tommie Agee,DAL,FB,26,16,11,0,0,0,0,0,53,213,4.02,0,30,272,9.07,1,0,,1,,,55,84.5,90.5,69.5,,59,
Johnny Hector,NYJ,RB,30,15,3,0,0,0,0,0,91,377,4.14,2,8,72,9.00,0,2,,2,,,55,62.9,66.9,58.9,,58,
