Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Steve Broussard,CIN,RB,27,13,3,0,1,0,0,0,94,403,4.29,2,48,34,218,6.41,0,5,5,2,1,,66,100.1,111.1,83.1,,49,
Lake Dawson,KAN,WR,22,12,6,0,0,0,0,0,3,24,8.00,0,68,37,537,14.51,2,1,1,2,,,66,103.1,107.1,84.6,,62,
Daryl Johnston*,DAL,FB,28,16,16,0,0,0,0,0,40,138,3.45,2,60,44,325,7.39,2,2,2,4,,,66,110.3,118.3,88.3,,48,
Ricky Sanders,ATL,WR,34,14,12,0,0,0,0,0,0,0,,0,103,67,599,8.94,1,0,,1,,,66,132.9,135.9,99.4,,63,
Brian Mitchell,WAS,FB,26,16,7,0,1,0,0,1,78,311,3.99,0,53,26,236,9.08,1,4,4,3,1,,65,90.7,101.7,78.7,,50,
Don Majkowski,IND,QB,30,9,6,84,152,1010,6,7,24,34,1.42,3,0,0,0,,0,5,4,3,,,64,63.8,77.8,70.8,,33,
Erik Kramer,CHI,QB,30,6,5,99,158,1129,8,8,6,-2,-0.33,0,0,0,0,,0,3,1,0,,2,63,63.0,75.0,71.0,,34,
Anthony Morgan,GNB,WR,27,16,0,0,0,0,0,0,0,0,,0,43,28,397,14.18,4,1,1,4,,,62,89.7,93.7,75.7,,64,
Jay Schroeder,ARI,QB,33,9,8,133,238,1510,4,7,16,59,3.69,0,0,0,0,,0,5,3,0,,,62,62.3,75.3,69.3,,35,
Charlie Garner,PHI,FB,22,10,8,0,0,0,0,0,109,399,3.66,3,12,8,74,9.25,0,3,2,3,,,61,69.3,74.3,65.3,,51,
Bill Brooks,BUF,WR,30,16,9,0,0,0,0,0,0,0,,0,59,42,482,11.48,2,1,,2,,,60,102.2,105.2,81.2,,65,
Johnny Bailey,RAM,RB,27,14,0,0,0,0,0,0,11,35,3.18,1,67,58,516,8.90,0,2,1,1,,,59,117.1,121.1,88.1,,53,
Harold Green,CIN,RB,26,14,11,0,0,0,0,0,76,223,2.93,1,41,27,267,9.89,1,1,1,2,,,59,86.0,93.0,72.5,,54,
