player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Bob Griese,MIA,QB,27.0,6,5,53,97,638,4,4,3,11,3.67,1,0,0,0.0,0,0,0,1,0.0,0.0,41.0,40.6,47.6,44.6,0.0,34.0,0.0
Wes Chesson,ATL,WR,23.0,13,13,0,0,0,0,0,0,0,0.0,0,18,338,18.78,1,0,0,1,0.0,0.0,40.0,57.8,60.8,48.8,0.0,39.0,0.0
Otto Stowe,MIA,WR,23.0,9,3,0,0,0,0,0,0,0,0.0,0,13,276,21.23,2,0,0,2,0.0,0.0,40.0,52.6,55.6,46.1,0.0,40.0,0.0
Harold Carmichael,PHI,WR,23.0,13,2,0,0,0,0,0,0,0,0.0,0,20,276,13.8,2,1,0,2,0.0,0.0,39.0,58.6,62.1,48.6,0.0,41.0,0.0
Mike Montgomery,DAL,RB,23.0,12,0,1,3,31,0,0,35,81,2.31,1,8,131,16.38,1,1,0,3,0.0,0.0,39.0,47.4,50.9,43.4,0.0,63.0,0.0
Carroll Dale,GNB,WR,34.0,14,14,0,0,0,0,0,0,0,0.0,0,16,317,19.81,1,0,0,1,0.0,0.0,38.0,53.7,56.7,45.7,0.0,43.0,0.0
Gene Washington,MIN,WR,28.0,12,11,0,0,0,0,0,0,0,0.0,0,18,259,14.39,2,0,0,2,0.0,0.0,38.0,55.9,58.9,46.9,0.0,42.0,0.0
Bob Klein,RAM,TE,25.0,14,13,0,0,0,0,0,1,-7,-7.0,0,29,330,11.38,1,1,0,1,0.0,0.0,37.0,66.3,69.8,51.8,0.0,18.0,0.0
Pete Liske,PHI,QB,30.0,14,7,71,138,973,3,7,7,20,2.86,0,0,0,0.0,0,3,0,0,0.0,0.0,36.0,35.9,47.4,42.9,0.0,35.0,0.0
Billy Parks,DAL,WR,24.0,12,7,0,0,0,0,0,0,0,0.0,0,18,298,16.56,1,0,0,1,0.0,0.0,36.0,53.8,56.8,44.8,0.0,44.0,0.0
Jerry Simmons,DEN,WR,30.0,9,8,0,0,0,0,0,0,0,0.0,0,17,235,13.82,2,0,0,2,0.0,0.0,36.0,52.5,55.5,44.0,0.0,45.0,0.0
John Tarver,NWE,RB,23.0,8,4,0,0,0,0,0,42,132,3.14,1,11,112,10.18,1,0,0,2,0.0,0.0,36.0,47.4,53.4,41.9,0.0,64.0,0.0
Jim Mandich,MIA,TE,24.0,14,0,0,0,0,0,0,0,0,0.0,0,11,168,15.27,3,0,0,3,0.0,0.0,35.0,45.8,48.8,40.3,0.0,19.0,0.0
Robert West,KAN,WR,22.0,11,5,0,0,0,0,0,2,2,1.0,0,9,165,18.33,2,0,0,3,0.0,0.0,35.0,43.7,46.7,39.2,0.0,46.0,0.0
Fran Lynch,DEN,RB,27.0,14,0,0,0,0,0,0,34,164,4.82,2,7,75,10.71,0,2,0,2,0.0,0.0,34.0,40.9,44.9,37.4,0.0,66.0,0.0
Cliff McClain,NYJ,RB,25.0,13,4,0,1,0,0,0,59,305,5.17,0,6,88,14.67,0,5,0,0,0.0,0.0,34.0,40.3,45.8,37.3,0.0,65.0,0.0
John McMakin,PIT,TE,22.0,14,13,0,0,0,0,0,1,0,0.0,0,21,277,13.19,1,0,0,1,0.0,0.0,34.0,54.7,57.7,44.2,0.0,20.0,0.0
Willie Rodgers,HOU,RB,23.0,14,3,0,0,0,0,0,71,204,2.87,2,6,61,10.17,0,5,0,2,0.0,0.0,34.0,39.5,45.0,36.5,0.0,67.0,0.0
Chuck Dicus,SDG,WR,24.0,10,7,0,0,0,0,0,1,-11,-11.0,0,18,227,12.61,2,1,0,2,0.0,0.0,33.0,50.6,54.1,41.6,0.0,48.0,0.0
Leland Glass,GNB,WR,22.0,14,14,0,0,0,0,0,2,13,6.5,0,15,261,17.4,1,0,0,1,0.0,0.0,33.0,48.4,51.4,40.9,0.0,47.0,0.0
Lance Alworth,DAL,WR,32.0,14,7,0,0,0,0,0,1,2,2.0,0,15,195,13.0,2,0,0,2,0.0,0.0,32.0,46.7,49.7,39.2,0.0,49.0,0.0
Vince Clements,NYG,RB,23.0,4,2,0,0,0,0,0,46,221,4.8,0,9,118,13.11,0,2,0,0,0.0,0.0,32.0,40.9,47.9,36.4,0.0,68.0,0.0
Gary Cuozzo,STL,QB,31.0,8,6,69,158,897,5,11,4,7,1.75,0,0,0,0.0,0,3,0,0,0.0,0.0,32.0,31.6,47.1,42.6,0.0,37.0,0.0
Clint Jones,MIN,RB,27.0,7,3,0,0,0,0,0,52,164,3.15,2,6,42,7.0,0,1,0,2,0.0,0.0,32.0,37.6,41.1,34.6,0.0,69.0,0.0
Dave Smith,2TM,WR,25.0,14,13,0,0,0,0,0,0,0,0.0,0,30,316,10.53,0,0,0,0,0.0,0.0,32.0,61.6,64.6,46.6,0.0,50.0,0.0
Ken Stabler,OAK,QB,27.0,14,1,44,74,524,4,3,6,27,4.5,0,0,0,0.0,0,2,0,0,0.0,0.0,32.0,31.7,38.7,34.7,0.0,36.0,0.0
John Henderson,MIN,WR,29.0,12,3,0,0,0,0,0,0,0,0.0,0,10,190,19.0,2,1,0,2,0.0,0.0,30.0,40.0,43.5,35.0,0.0,51.0,0.0
