Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Cliff Branch,RAI,WR,36,14,14,0,0,0,0,0,0,0,,0,27,401,14.85,0,0,,0,,,40,67.1,70.1,53.6,,73,
Joe Dufek,BUF,QB,23,5,5,74,150,829,4,8,9,22,2.44,1,0,0,,0,1,,1,,,40,40.4,51.9,48.4,,43,
Russ Francis,SFO,TE,31,10,8,0,0,0,0,0,0,0,,0,23,285,12.39,2,1,,2,,,40,62.5,66.0,51.0,,29,
Michael Haddix,PHI,RB,23,14,0,0,0,0,0,0,48,130,2.71,1,33,231,7.00,0,2,,1,,,40,73.1,80.1,56.6,,76,
David Lewis,DET,TE,23,16,7,0,0,0,0,0,0,0,,0,16,236,14.75,3,2,,3,,,40,55.6,59.6,47.6,,28,
Wade Wilson,MIN,QB,25,8,5,102,195,1019,5,11,9,30,3.33,0,0,0,,0,2,,0,,,40,39.8,54.8,50.8,,44,
Charle Young,SEA,TE,33,15,13,0,0,0,0,0,1,5,5.00,0,33,337,10.21,1,1,,1,,,39,72.2,75.7,55.7,,30,
Charlie Brown,WAS,WR,26,9,4,0,0,0,0,0,0,0,,0,18,200,11.11,3,0,,3,,,38,56.0,59.0,47.0,,74,
Keith Griffin,WAS,RB,23,16,2,0,0,0,0,0,97,408,4.21,0,8,43,5.38,0,7,,0,,,38,46.1,52.6,42.1,,77,
Herkie Walls,HOU,WR,23,14,10,0,0,0,0,0,4,20,5.00,0,18,291,16.17,1,0,,1,,,37,55.1,58.1,46.1,,75,
Cedric Minter,NYJ,RB,26,8,2,0,0,0,0,0,34,136,4.00,1,10,109,10.90,1,1,,2,,,36,45.5,52.0,40.5,,78,
Ed West,GNB,TE,23,16,0,0,0,0,0,0,1,2,2.00,1,6,54,9.00,4,0,,5,,,36,41.6,41.6,38.6,,31,
Mike Holston,HOU,WR,26,16,3,0,0,0,0,0,0,0,,0,22,287,13.05,1,0,,1,,,35,56.7,59.7,45.7,,76,
