player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Lee Bouggess,PHI,RB,22.0,14.0,12.0,0.0,1.0,0.0,0.0,0.0,159.0,401.0,2.52,2.0,50.0,401.0,8.02,2.0,6.0,,4.0,,,98.0,148.2,157.2,123.2,,23.0,73.0
Clint Jones,MIN,RB,25.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,120.0,369.0,3.08,9.0,9.0,117.0,13.0,0.0,5.0,,9.0,,,98.0,106.6,115.1,102.1,,24.0,74.0
Tucker Frederickson,NYG,RB,27.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,120.0,375.0,3.13,1.0,40.0,408.0,10.2,3.0,8.0,,4.0,,,94.0,134.3,144.3,114.3,,26.0,75.0
O.J. Simpson,BUF,RB,23.0,8.0,8.0,0.0,2.0,0.0,0.0,0.0,120.0,488.0,4.07,5.0,10.0,139.0,13.9,0.0,6.0,,6.0,,,93.0,102.7,111.7,97.7,,27.0,76.0
Mike Richardson,HOU,RB,24.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,103.0,368.0,3.57,2.0,34.0,381.0,11.21,1.0,2.0,,3.0,,,91.0,124.9,131.9,107.9,,28.0,77.0
Calvin Hill,DAL,RB,23.0,12.0,9.0,1.0,4.0,12.0,0.0,0.0,153.0,577.0,3.77,4.0,13.0,95.0,7.31,0.0,4.0,,4.0,,,88.0,100.7,105.7,94.2,,29.0,78.0
Wendell Hayes,KAN,FB,30.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,109.0,381.0,3.5,5.0,26.0,219.0,8.42,0.0,3.0,,5.0,,,87.0,113.0,120.5,100.0,,30.0,
George Nock,NYJ,RB,24.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,135.0,402.0,2.98,5.0,18.0,146.0,8.11,1.0,4.0,,6.0,,,87.0,104.8,112.8,95.8,,31.0,
Willie Ellison,RAM,RB,25.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,90.0,381.0,4.23,5.0,10.0,84.0,8.4,2.0,4.0,,7.0,,,85.0,94.5,99.5,89.5,,32.0,
Gary Cuozzo,MIN,QB,29.0,12.0,12.0,128.0,257.0,1720.0,7.0,10.0,17.0,61.0,3.59,0.0,0.0,0.0,,0.0,3.0,,0.0,,,80.0,79.9,94.4,89.9,,20.0,
Doug Cunningham,SFO,RB,25.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,128.0,443.0,3.46,3.0,35.0,209.0,5.97,0.0,4.0,,3.0,,,79.0,114.2,122.2,96.7,,33.0,
Bart Starr,GNB,QB,36.0,14.0,13.0,140.0,255.0,1645.0,8.0,13.0,12.0,62.0,5.17,1.0,0.0,0.0,,0.0,6.0,,1.0,,,78.0,78.0,97.0,91.0,,21.0,
Al Woodall,NYJ,QB,25.0,10.0,9.0,96.0,188.0,1265.0,9.0,9.0,28.0,110.0,3.93,0.0,0.0,0.0,,0.0,2.0,,0.0,,,78.0,77.6,93.6,86.6,,22.0,
Bobby Anderson,DEN,RB,23.0,14.0,0.0,4.0,7.0,59.0,0.0,0.0,83.0,368.0,4.43,4.0,9.0,140.0,15.56,0.0,1.0,,4.0,,,76.0,85.2,91.7,80.7,,34.0,
Cannonball Butler,ATL,RB,27.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,166.0,636.0,3.83,0.0,24.0,151.0,6.29,1.0,10.0,,1.0,,,75.0,98.7,109.7,86.7,,35.0,
Carl Garrett,BOS,RB,23.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,88.0,272.0,3.09,4.0,26.0,216.0,8.31,0.0,1.0,,4.0,,,72.0,97.8,104.3,84.8,,37.0,
Harmon Wages,ATL,RB,24.0,13.0,11.0,1.0,1.0,13.0,0.0,0.0,119.0,422.0,3.55,1.0,26.0,153.0,5.88,2.0,4.0,,3.0,,,72.0,98.0,106.0,85.0,,36.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Munson,DET,QB,29.0,8.0,8.0,84.0,158.0,1049.0,10.0,7.0,9.0,33.0,3.67,0.0,0.0,0.0,,0.0,1.0,,0.0,,,70.0,70.3,80.8,77.3,,23.0,
Joe Dawkins,HOU,FB,22.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,124.0,517.0,4.17,2.0,15.0,94.0,6.27,0.0,4.0,,2.0,,,69.0,84.1,89.1,76.6,,39.0,
Essex Johnson,CIN,RB,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,273.0,4.2,2.0,15.0,190.0,12.67,2.0,1.0,,4.0,,,69.0,84.3,90.8,76.8,,38.0,
Norm Bulaich,BAL,FB,24.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,139.0,426.0,3.06,3.0,11.0,123.0,11.18,0.0,6.0,,3.0,,,67.0,77.9,86.9,72.4,,40.0,
Charley Johnson,HOU,QB,32.0,10.0,10.0,144.0,281.0,1652.0,7.0,12.0,5.0,3.0,0.6,0.0,0.0,0.0,,0.0,3.0,,0.0,,,67.0,67.4,83.9,79.4,,24.0,
Pete Liske,DEN,QB,28.0,11.0,9.0,112.0,238.0,1340.0,7.0,11.0,7.0,42.0,6.0,1.0,0.0,0.0,,0.0,3.0,,1.0,,,67.0,66.8,82.3,77.8,,25.0,
John Henderson,MIN,WR,27.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,31.0,527.0,17.0,2.0,0.0,,2.0,,,65.0,95.7,98.7,80.2,,20.0,
Willis Crenshaw,DEN,FB,29.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,69.0,200.0,2.9,5.0,18.0,105.0,5.83,1.0,3.0,,6.0,,,64.0,81.5,89.0,72.5,,41.0,
Preston Pearson,PIT,RB,25.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,173.0,503.0,2.91,2.0,6.0,71.0,11.83,0.0,6.0,,2.0,,,63.0,69.4,75.4,66.4,,42.0,
George Farmer,CHI,WR,22.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,31.0,496.0,16.0,2.0,0.0,,2.0,,,62.0,92.6,95.6,77.1,,21.0,
Fair Hooker,CLE,WR,23.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,28.0,490.0,17.5,2.0,0.0,,2.0,,,61.0,89.0,92.0,75.0,,22.0,
John Mackey,BAL,TE,29.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,28.0,435.0,15.54,3.0,1.0,,3.0,,,61.0,88.5,92.0,74.5,,12.0,
Cid Edwards,STL,RB,27.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,70.0,350.0,5.0,1.0,19.0,150.0,7.89,1.0,2.0,,2.0,,,60.0,79.0,86.0,69.5,,43.0,
Charlie Joiner,HOU,WR,23.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,28.0,416.0,14.86,3.0,0.0,,3.0,,,60.0,87.6,90.6,73.6,,24.0,
Chip Myers,CIN,WR,25.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,32.0,542.0,16.94,1.0,0.0,,1.0,,,60.0,92.2,95.2,76.2,,23.0,
Billy Truax,RAM,TE,27.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,36.0,420.0,11.67,3.0,0.0,,3.0,,,60.0,96.0,99.0,78.0,,13.0,
Terry Bradshaw,PIT,QB,22.0,13.0,8.0,83.0,218.0,1410.0,6.0,24.0,32.0,233.0,7.28,1.0,0.0,0.0,,0.0,3.0,,1.0,,,59.0,58.7,90.2,82.7,,26.0,
Bob Trumpy*,CIN,TE,25.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,29.0,480.0,16.55,2.0,1.0,,2.0,,,59.0,88.0,91.5,73.5,,14.0,
