Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Ron Lee,BAL,RB,25,15,4,0,0,0,0,0,81,374,4.62,1,13,109,8.38,1,3,,2,,,57,70.3,77.8,63.8,,74,
Greg Boykin,SFO,FB,25,16,8,0,0,0,0,0,102,361,3.54,2,19,112,5.89,0,3,,2,,,56,75.3,82.8,65.8,,76,
Glenn Doughty,BAL,WR,27,15,15,0,0,0,0,0,1,-1,-1.00,0,25,390,15.60,3,1,,3,,,56,80.9,84.4,68.4,,50,
Tinker Owens,NOR,WR,24,14,10,0,0,0,0,0,0,0,,0,40,446,11.15,2,1,,2,,,56,95.6,99.1,75.6,,51,
Al Dixon,NYG,TE,24,15,11,0,0,0,0,0,0,0,,0,18,376,20.89,3,1,,3,,,55,72.6,76.1,63.6,,14,
MacArthur Lane,KAN,RB,36,16,3,0,0,0,0,0,52,277,5.33,0,36,279,7.75,0,1,,0,,,55,90.6,97.1,72.6,,77,
Henry Marshall,KAN,WR,24,16,16,0,0,0,0,0,1,-5,-5.00,0,26,433,16.65,2,0,,2,,,55,80.8,83.8,67.8,,52,
Johnny Davis,TAM,FB,22,16,10,0,0,0,0,0,97,370,3.81,3,5,13,2.60,0,2,,3,,,54,59.3,63.3,56.8,,78,
Keith Krepfle,PHI,TE,26,10,10,0,0,0,0,0,0,0,,0,26,374,14.38,3,1,,3,,,54,80.4,83.9,67.4,,15,
Bob Klein,SDG,TE,31,16,16,0,0,0,0,0,0,0,,0,34,413,12.15,2,0,,2,,,53,87.3,90.3,70.3,,16,
Cleo Miller,CLE,RB,26,15,9,0,0,0,0,0,89,336,3.78,1,20,152,7.60,0,2,,1,,,53,72.8,79.8,62.8,,80,
Tim Wilson,HOU,FB,24,16,13,0,0,0,0,0,126,431,3.42,0,15,91,6.07,1,5,,1,,,53,68.2,73.7,60.7,,79,
Bob Tucker,MIN,TE,33,16,16,0,0,0,0,0,0,0,,0,47,540,11.49,0,2,,0,,,52,99.0,103.0,75.5,,17,
Ronnie Coleman,HOU,RB,27,15,2,0,0,0,0,0,61,188,3.08,1,19,246,12.95,1,4,,2,,,51,70.4,78.4,60.9,,81,
Steve DeBerg,SFO,QB,24,12,11,137,302,1570,8,22,15,20,1.33,1,0,0,,0,9,,1,,,50,49.8,79.3,71.8,,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Grossman,PIT,TE,26,16,10,0,0,0,0,0,0,0,,0,37,448,12.11,1,1,,1,,,50,86.8,90.3,68.3,,18,
Rob Lytle,DEN,RB,24,13,7,0,0,0,0,0,81,341,4.21,2,6,37,6.17,0,0,,2,,,50,55.8,58.8,52.8,,82,
Paul Seal,SFO,TE,26,14,4,0,0,0,0,0,0,0,,0,21,370,17.62,2,0,,2,,,49,70.0,73.0,59.5,,19,
Sidney Thornton,PIT,RB,24,16,0,0,0,0,0,0,71,264,3.72,2,5,66,13.20,1,3,,3,,,48,53.0,57.5,50.5,,83,
Don Calhoun,NWE,FB,26,14,2,0,0,0,0,0,76,391,5.14,1,3,29,9.67,0,1,,1,,,47,50.0,53.5,48.5,,84,
Jim Mitchell,ATL,TE,31,16,16,0,0,0,0,0,0,0,,0,32,366,11.44,2,2,,2,,,47,78.6,82.6,62.6,,20,
Luther Blue,DET,WR,24,16,15,0,0,0,0,0,5,9,1.80,0,31,350,11.29,2,2,,2,,,46,76.9,80.9,61.4,,53,
